"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Filter by valid priority returns only tasks with that priority","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByPriority_returnsOnlyMatchingTasks"
"","132","Create a task with all valid fields","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withValidData_returns201AndTask"
"","74","Create task with only required fields (title, status, priority)","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withMinimalFields_returns201"
"","23","Create task with title exceeding 200 characters returns 400","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withTitleOver200Chars_returns400"
"","232","DELETE /tasks/{id} removes the task and returns 204","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","deleteTask_whenExists_returns204AndTaskIsGone"
"","28","GET /tasks/{id} returns 404 for non-existent task","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:41 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","getTaskById_whenNotExists_returns404"
"","39","Filter by valid status returns only tasks with that status","Surefire suite","Sat Mar 14 20:38:39 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByStatus_returnsOnlyMatchingTasks"
"","386","Filter by valid priority returns only tasks with that priority","Surefire suite","Sat Mar 14 20:38:38 UTC 2026","passed","Sat Mar 14 20:38:39 UTC 2026","com.taskflow.tests.api.TaskFilterApiTest","Surefire test","com.taskflow.tests.api.TaskFilterApiTest","filterByPriority_returnsOnlyMatchingTasks"
"","39","Create task with a blank title returns 400","Surefire suite","Sat Mar 14 20:38:40 UTC 2026","passed","Sat Mar 14 20:38:40 UTC 2026","com.taskflow.tests.api.TaskCrudApiTest","Surefire test","com.taskflow.tests.api.TaskCrudApiTest","createTask_withBlankTitle_returns400"
"","352","Single task response matches expected JSON schema","Surefire suite","Sat Mar 14 20:38:41 UTC 2026","passed","Sat Mar 14 20:38:42 UTC 2026","com.taskflow.tests.api.TaskSchemaValidationTest","Surefire test","com.taskflow.tests.api.TaskSchemaValidationTest","getSingleTask_matchesJsonSchema"
